,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility,Rebate-QC,Year-QC
0,Audi,Q4 e-tron Quattro, ,"$5,000",2022.0,BEV,2022-04-25,,
1,Audi,A3 Sportback e-tron,Progressiv Technik,"$2,500",2018.0,PHEV,2019-05-01,,
2,BMW,i4,eDrive40,"$5,000",2022.0,BEV,2022-05-03,,
3,BMW,X3,xDrive30e,"$2,500",2022.0,PHEV,2022-04-25,,
4,BMW,X3,xDrive30e,"$2,500",2021.0,PHEV,2022-07-25,,
5,Chevrolet,Bolt EV,LT,"$5,000",2023.0,BEV,2022-07-15,,
6,Chevrolet,Bolt,LT,"$5,000",2022.0,BEV,2021-03-18,,
7,Ford,Focus,Electric,"$5,000",2018.0,BEV,2019-05-01,,
8,Hyundai,Kona Electric,Preferred Ultimate,"$5,000",2019.0,BEV,2019-05-01,,
9,Hyundai,Sonata PHEV,Ultimate,"$2,500",2017.0,PHEV,2019-06-17,,
10,Lexus,NX 450h+, ,"$5,000",2022.0,PHEV,2022-04-25,,
11,Lincoln,Corsair,Grand Touring,"$2,500",2022.0,PHEV,2022-04-25,,
12,Lincoln,Corsair,Grand Touring,"$2,500",2021.0,PHEV,2022-04-25,,
13,MINI,3 Door Hatch,Cooper SE,"$5,000",2023.0,BEV,2022-04-07,,
14,MINI,Countryman All4,Cooper SE,"$2,500",2023.0,PHEV,2022-04-07,,
15,MINI,3 Door,Cooper SE,"$5,000",2022.0,BEV,2021-03-04,,
16,MINI,Countryman,Cooper SE All4,"$2,500",2022.0,PHEV,2021-03-16,,
17,MINI,Countryman,Cooper SE All4,"$2,500",2021.0,PHEV,2020-09-18,,
18,Mitsubishi,i-MiEV,ES,"$5,000",2017.0,BEV,2019-08-26,,
19,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2023.0,PHEV,2022-08-12,,
20,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2022.0,PHEV ,2022-01-17,,
21,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2021.0,PHEV,2020-11-10,,
22,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2020.0,PHEV,2020-01-08,,
23,Toyota,Mirai,XLE,"$5,000",2022.0,FCEV,2022-04-25,,
24,Volkswagen,e-Golf,Comfortline,"$5,000",2020.0,BEV,2019-10-17,,
25,Volkswagen,e-Golf,Comfortline,"$5,000",2019.0,BEV,2019-05-01,,
26,Volvo,C40,Recharge,"$5,000",2023.0,BEV,2022-08-16,,
27,Volvo,XC40,Recharge,"$5,000",2023.0,BEV,2022-08-16,,
28,Volvo,V60 Recharge,R Design (Extended Range),"$5,000",2022.0,PHEV,2022-04-25,,
29,Volvo,XC40 Recharge, ,"$5,000",2022.0,BEV,2022-04-25,,
30,BMW,330e,RWD,"$2,500",2023.0,PHEV,2022-08-05,,
31,BMW,330e,xDrive,"$2,500",2023.0,PHEV,2022-08-05,,
32,BMW,i4,eDrive35,"$5,000",2023.0,BEV,2022-08-08,,
33,BMW,i4,eDrive40,"$5,000",2023.0,BEV,2022-08-08,,
34,BMW,330e,RWD,"$2,500",2022.0,PHEV,2021-07-02,,
35,BMW,330e,xDrive,"$2,500",2022.0,PHEV,2021-07-02,,
36,BMW,330e,RWD,"$2,500",2021.0,PHEV,2020-04-21,,
37,BMW,330e,xDrive,"$2,500",2021.0,PHEV,2020-04-21,,
38,BMW,i3,Base,"$5,000",2021.0,BEV,2020-12-21,,
39,BMW,i3,s,"$5,000",2021.0,BEV,2020-12-21,,
40,BMW,i3,Range Extender,"$5,000",2021.0,PHEV,2020-12-21,,
41,BMW,i3,s Range Extender,"$5,000",2021.0,PHEV,2020-12-21,,
