,Make,Model,Trim,Rebate-QC,Year-QC,Category
0,Audi,Q4 e-tron,Komfort,$7 000,  2022,BEV
5,BMW,i4, eDrive40,$7 000,  2022,BEV
6,BYD,E6,,$7 000,  2020,BEV
10,Ford,Fusion,,$2 500,  2020,PHEV
11,Ford,Mustang Mach-E,Select,$7 000,  2022,BEV
17,Hyundai,Santa Fe,,$2 500,  2022,PHEV
18,Hyundai,Tucson,,$2 500,  2022,PHEV
19,Jeep,Wrangler 4xe,High Altitude,$5 000,  2022,PHEV
20,Kia,EV6,,$7 000,  2022,BEV
22,Kia,Niro,EX,$2 500,  2022,PHEV
24,Kia,Optima EX - Ex Premium,,$2 500,  2020,PHEV
25,Kia,Sorento,,$2 500,  2022,PHEV
27,Lexus,NX 450h+,,$5 000,  2022,PHEV
29,Mazda,MX-30,,$7 000,  2022,BEV
34,Polestar,Polestar 2,,$7 000,  2022,BEV
36,Tesla,Model 3, RWD,$7 000,  2022,BEV
42,Volvo,S60 Recharge, R-Design,$5 000,  2022,PHEV
43,Volvo,V60 Recharge, R-Design,$5 000,  2022,PHEV
44,Volvo,"XC40 Recharge - Core, Plus or Ultimate",,$7 000,  2022,BEV
50,Ford,Mustang Mach-E,Premium RWD,$7 000,  2021,BEV
51,Ford,Mustang Mach-E,Standard Range,$7 000,  2021,BEV
52,Ford,Mustang Mach-E,Select,$7 000,  2021,BEV
53,Hyundai,IONIQ 5, Essential,$7 000,  2022,BEV
54,Hyundai,IONIQ 5,Preferred,$7 000,  2022,BEV
55,Hyundai,IONIQ 5,Preferred Long Range,$7 000,  2022,BEV
56,Hyundai,IONIQ 5,Preferred AWD Long Range,$7 000,  2022,BEV
57,Jeep,Wrangler 4xe,Rubicon,$5 000,  2021 - 2022,PHEV
58,Jeep,Wrangler 4xe,Sahara,$5 000,  2021 - 2022,PHEV
59,Volkswagen,ID.4,Pro,$7 000,  2021,BEV
60,Volkswagen,ID.4,AWD Pro,$7 000,  2021,BEV
61,BMW, X3,xDrive30e,$2 500,  2020,PHEV
62,BMW, X3,xDrive30e,$2 500,2021,PHEV
63,BMW, X3,xDrive30e,$2 500,2022,PHEV
64,BMW,i3,,$7 000,  2020,BEV
65,BMW,i3,,$7 000,2021,BEV
66,BMW,i3 REx and i3s Rex,,$5 000,  2020,PHEV
67,BMW,i3 REx and i3s Rex,,$5 000,2021,PHEV
68,BMW,i3s,,$7 000,  2020,BEV
69,BMW,i3s,,$7 000,2021,BEV
70,Chevrolet,Bolt EUV,,$7 000,  2022,BEV
71,Chevrolet,Bolt EUV,,$7 000,2023,BEV
