,Make,Model,Trim,Rebate-QC,Year-QC,Eligibility,Category
0,Audi,Q4 e-tron,Komfort,$7 000,  2022,2020-01-01,BEV
1,BMW,3 Series,330e xDrive,$2 500,2022,2020-01-01,PHEV
2,BMW,i3,REx,$5 000,  2020,2020-01-01,PHEV
3,BMW,i3,REx,$5 000,2021,2020-01-01,PHEV
4,BMW,3 Series,330e,$2 500,  2021,2020-01-01,PHEV
5,BMW,3 Series,330e,$2 500,2022,2020-01-01,PHEV
6,BMW,i3s,Rex,$5 000,  2020,2020-01-01,PHEV
7,BMW,i3s,Rex,$5 000,2021,2020-01-01,PHEV
8,BMW,X3,xDrive30e,$2 500,  2020,2020-01-01,PHEV
9,BMW,X3,xDrive30e,$2 500,2021,2020-01-01,PHEV
10,BMW,X3,xDrive30e,$2 500,2022,2020-01-01,PHEV
11,BMW,i3s,,$7 000,  2020,2020-01-01,BEV
12,BMW,i3s,,$7 000,2021,2020-01-01,BEV
13,BMW,i3,,$7 000,  2020,2020-01-01,BEV
14,BMW,i3,,$7 000,2021,2020-01-01,BEV
15,BMW,i4,eDrive40,$7 000,  2022,2020-01-01,BEV
16,BMW,3 Series,330e xDrive,$2 500,  2021,2020-01-01,PHEV
17,BYD,E6,,$7 000,  2020,2020-01-01,BEV
18,Chevrolet,Bolt EUV,,$7 000,  2022,2020-01-01,BEV
19,Chevrolet,Bolt EUV,,$7 000,2023,2020-01-01,BEV
20,Chevrolet,Bolt EV,,$7 000,  2020,2020-01-01,BEV
21,Chevrolet,Bolt EV,,$7 000,2021,2020-01-01,BEV
22,Chevrolet,Bolt EV,,$7 000,2022,2020-01-01,BEV
23,Chevrolet,Bolt EV,,$7 000,2023,2020-01-01,BEV
24,Chrysler,Pacifica Hybrid,,$5 000,  2020,2020-01-01,PHEV
25,Chrysler,Pacifica Hybrid,,$5 000,2021,2020-01-01,PHEV
26,Chrysler,Pacifica Hybrid,,$5 000,2022,2020-01-01,PHEV
27,Ford,Escape,SE,$2 500,2022,2020-01-01,PHEV
28,Ford,Mustang Mach-E,Select,$7 000,  2021,2020-01-01,BEV
29,Ford,Mustang Mach-E,Standard Range,$7 000,  2021,2020-01-01,BEV
30,Ford,Fusion,,$2 500,  2020,2020-01-01,PHEV
31,Ford,Mustang Mach-E,Premium RWD,$7 000,  2021,2020-01-01,BEV
32,Ford,Mustang Mach-E,Select,$7 000,  2022,2020-01-01,BEV
33,Ford,Escape,SEL,$2 500,2021,2020-01-01,PHEV
34,Ford,Escape,SEL,$2 500,  2020,2020-01-01,PHEV
35,Ford,Escape,SE,$2 500,2021,2020-01-01,PHEV
36,Ford,Escape,SE,$2 500,  2020,2020-01-01,PHEV
37,Ford,Escape,SEL,$2 500,2022,2020-01-01,PHEV
38,Ford,Escape,Titanium,$2 500,  2020,2020-01-01,PHEV
39,Ford,Escape,Titanium,$2 500,2022,2020-01-01,PHEV
40,Ford,Escape,Titanium,$2 500,2021,2020-01-01,PHEV
41,Honda,Clarity,,$5 000,2021,2020-01-01,PHEV
42,Honda,Clarity,,$5 000,  2020,2020-01-01,PHEV
43,Hyundai,Kona,,$7 000,2023,2020-01-01,BEV
44,Hyundai,Kona,,$7 000,2022,2020-01-01,BEV
45,Hyundai,Kona,,$7 000,2021,2020-01-01,BEV
46,Hyundai,IONIQ,,$2 500,2022,2020-01-01,PHEV
47,Hyundai,IONIQ,,$2 500,2021,2020-01-01,PHEV
48,Hyundai,IONIQ,,$7 000,2021,2020-01-01,BEV
49,Hyundai,IONIQ,,$7 000,  2020,2020-01-01,BEV
