,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
0,Audi,Q4 e-tron Quattro, ,"$5,000",2022,BEV,2022-04-25
1,Audi,A3 Sportback e-tron,Progressiv Technik,"$2,500",2018,PHEV,2019-05-01
2,BMW,i4,eDrive40,"$5,000",2022,BEV,2022-05-03
3,BMW,X3,xDrive30e,"$2,500",2022,PHEV,2022-04-25
4,BMW,X3,xDrive30e,"$2,500",2021,PHEV,2022-07-25
5,Chevrolet,Bolt EV,LT,"$5,000",2023,BEV,2022-07-15
6,Chevrolet,Bolt,LT,"$5,000",2022,BEV,2021-03-18
7,Ford,Focus,Electric,"$5,000",2018,BEV,2019-05-01
9,Hyundai,Kona Electric,Preferred Ultimate,"$5,000",2019,BEV,2019-05-01
10,Hyundai,Sonata PHEV,Ultimate,"$2,500",2017,PHEV,2019-06-17
12,Lexus,NX 450h+, ,"$5,000",2022,PHEV,2022-04-25
13,Lincoln,Corsair,Grand Touring,"$2,500",2022,PHEV,2022-04-25
14,Lincoln,Corsair,Grand Touring,"$2,500",2021,PHEV,2022-04-25
15,MINI,3 Door Hatch,Cooper SE,"$5,000",2023,BEV,2022-04-07
16,MINI,Countryman All4,Cooper SE,"$2,500",2023,PHEV,2022-04-07
17,MINI,3 Door,Cooper SE,"$5,000",2022,BEV,2021-03-04
18,MINI,Countryman,Cooper SE All4,"$2,500",2022,PHEV,2021-03-16
19,MINI,Countryman,Cooper SE All4,"$2,500",2021,PHEV,2020-09-18
20,Mitsubishi,i-MiEV,ES,"$5,000",2017,BEV,2019-08-26
25,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2023,PHEV,2022-08-12
26,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2022,PHEV ,2022-01-17
27,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2021,PHEV,2020-11-10
28,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2020,PHEV,2020-01-08
29,Toyota,Mirai,XLE,"$5,000",2022,FCEV,2022-04-25
30,Volkswagen,e-Golf,Comfortline,"$5,000",2020,BEV,2019-10-17
31,Volkswagen,e-Golf,Comfortline,"$5,000",2019,BEV,2019-05-01
33,Volvo,C40,Recharge,"$5,000",2023,BEV,2022-08-16
34,Volvo,XC40,Recharge,"$5,000",2023,BEV,2022-08-16
35,Volvo,V60 Recharge,R Design (Extended Range),"$5,000",2022,PHEV,2022-04-25
36,Volvo,XC40 Recharge, ,"$5,000",2022,BEV,2022-04-25
37,BMW,330e,RWD,"$2,500",2023,PHEV,2022-08-05
