,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
0,Audi,Q4 e-tron Quattro, ,"$5,000",2022,BEV,2022-04-25
1,Audi,A3 Sportback e-tron,Progressiv Technik,"$2,500",2018,PHEV,2019-05-01
2,BMW,i3,Range Extender,"$5,000",2018,PHEV,2019-05-29
3,BMW,i3,Range Extender,"$5,000",2019,PHEV,2019-05-29
4,BMW,i3,s,"$5,000",2018,BEV,2019-05-29
5,BMW,i3,s,"$5,000",2019,BEV,2019-05-29
6,BMW,i3,Base,"$5,000",2018,BEV,2019-05-29
7,BMW,i3,Base,"$5,000",2019,BEV,2019-05-29
8,BMW,i3,Range Extender,"$5,000",2021,PHEV,2020-12-21
9,BMW,330e,xDrive,"$2,500",2021,PHEV,2020-04-21
10,BMW,i3,s Range Extender,"$5,000",2019,PHEV,2019-05-29
11,BMW,i3,s,"$5,000",2021,BEV,2020-12-21
12,BMW,i3,s,"$5,000",2020,BEV,2020-01-16
13,BMW,i3,s Range Extender,"$5,000",2021,PHEV,2020-12-21
14,BMW,i3,Base,"$5,000",2021,BEV,2020-12-21
15,BMW,330e,xDrive,"$2,500",2022,PHEV,2021-07-02
16,BMW,330e,RWD,"$2,500",2023,PHEV,2022-08-05
17,BMW,330e,xDrive,"$2,500",2023,PHEV,2022-08-05
18,BMW,X3,xDrive30e,"$2,500",2021,PHEV,2022-07-25
19,BMW,X3,xDrive30e,"$2,500",2022,PHEV,2022-04-25
20,BMW,i4,eDrive40,"$5,000",2022,BEV,2022-05-03
21,BMW,i4,eDrive40,"$5,000",2023,BEV,2022-08-08
22,BMW,i3,Base,"$5,000",2020,BEV,2020-01-16
23,BMW,i3,s Range Extender,"$5,000",2018,PHEV,2019-05-29
24,BMW,330e,RWD,"$2,500",2022,PHEV,2021-07-02
25,BMW,i4,eDrive35,"$5,000",2023,BEV,2022-08-08
26,BMW,330e,RWD,"$2,500",2021,PHEV,2020-04-21
27,BMW,i3,s,$5000,2020,BEV,2020-01-16
28,BMW,i3,Base,$5000,2020,BEV,2020-01-16
29,Chevrolet,Volt,LT (2LT),"$5,000",2018,PHEV,2019-05-01
30,Chevrolet,Bolt,Premier (2LZ),"$5,000",2018,BEV,2019-05-01
31,Chevrolet,Volt,Premier (2LZ),"$5,000",2018,PHEV,2019-05-01
32,Chevrolet,Bolt,LT (2LT),"$5,000",2019,BEV,2019-05-01
33,Chevrolet,Bolt,LT (2LT),"$5,000",2018,BEV,2019-05-01
34,Chevrolet,Bolt,Premier (2LZ),"$5,000",2019,BEV,2019-05-01
