,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
0,Audi,Q4 e-tron Quattro, ,"$5,000",2022,BEV,2022-04-25
1,Audi,A3 Sportback e-tron,Progressiv Technik,"$2,500",2018,PHEV,2019-05-01
2,BMW,330e,"RWD
			xDrive","$2,500",2023,PHEV,2022-08-05
3,BMW,i4,"eDrive35
			eDrive40","$5,000",2023,BEV,2022-08-08
4,BMW,330e,"RWD
			xDrive","$2,500",2022,PHEV,2021-07-02
5,BMW,i4,eDrive40,"$5,000",2022,BEV,2022-05-03
6,BMW,X3,xDrive30e,"$2,500",2022,PHEV,2022-04-25
7,BMW,330e,"RWD
			xDrive","$2,500",2021,PHEV,2020-04-21
8,BMW,i3,"Base
			s","$5,000",2021,BEV,2020-12-21
9,BMW,i3,"Range Extender
			s Range Extender","$5,000",2021,PHEV,2020-12-21
10,BMW,X3,xDrive30e,"$2,500",2021,PHEV,2022-07-25
11,BMW,i3,"Base
			s","$5,000",2020,BEV,2020-01-16
12,BMW,i3,"Base
			s",$5000,2020,BEV,2020-01-16
13,BMW,i3,"Base
			s","$5,000",2018/2019,BEV,2019-05-29
14,BMW,i3,"Range Extender
			s Range Extender","$5,000",2018/2019,PHEV,2019-05-29
15,Chevrolet,Bolt EUV,"LT
			Premier","$5,000",2023,BEV,2022-07-15
16,Chevrolet,Bolt EV,LT,"$5,000",2023,BEV,2022-07-15
17,Chevrolet,Bolt,LT,"$5,000",2022,BEV,2021-03-18
18,Chevrolet,Bolt EUV,"LT
			Premier","$5,000",2022,BEV,2021-03-18
19,Chevrolet,Bolt,"LT (2LT)
			Premier (2LZ)","$5,000",2021,BEV,2020-11-10
20,Chevrolet,Bolt,"LT (2LT)
			Premier (2LZ)","$5,000",2020,BEV,2019-09-16
21,Chevrolet,Bolt,"LT (2LT)
			Premier (2LZ)","$5,000","2018/
			2019",BEV,2019-05-01
22,Chevrolet,Volt,"LT (2LT)
			Premier (2LZ)","$5,000","2018/
			2019",PHEV,2019-05-01
23,Chrysler,Pacifica Hybrid," Touring-L
			Limited
			Pinnacle","$5,000",2022,PHEV ,2021-11-25
24,Chrysler,Pacifica Hybrid,"Touring
			Touring-L Plus
			Limited
			Pinnacle","$5,000",2021,PHEV,2020-11-09
25,Chrysler,Pacifica Hybrid,"Touring
			Touring L
			Limited","$5,000",2020,PHEV,2019-09-16
26,Chrysler,Pacifica Hybrid,"Touring
			Touring L
			Touring Plus
			Premium
			Platinum
			Limited","$5,000","2017/
			2018/
			2019",PHEV,2019-05-01
